lead_time_days,avg_daily_rate_adr,total_stay_nights,special_requests_count,previous_cancellations_count,booking_channel_score,is_canceled
326,115.495,6,2,3,2,1
271,59.612,5,4,2,4,0
54,124.846,7,0,3,2,1
101,152.929,9,0,2,4,0
264,116.778,10,1,3,2,1
53,99.774,7,2,3,2,1
60,97.097,7,0,0,2,1
108,141.406,4,4,0,1,0
5,150.376,1,4,2,3,0
103,174.448,14,0,4,1,1
196,80.2,8,5,0,2,0
262,141.039,4,5,0,4,0
365,115.132,1,2,1,2,0
350,116.311,5,4,0,3,0
47,136.073,14,5,4,1,1
355,136.306,14,4,1,3,0
311,141.151,8,2,3,4,0
308,77.701,4,2,3,3,1
144,90.008,13,5,1,1,1
269,179.435,12,0,1,4,0
124,111.177,8,3,1,3,0
106,132.241,8,1,2,1,1
158,162.187,3,3,4,1,1
147,138.538,9,3,4,2,1
145,141.861,3,4,3,3,0
120,155.783,1,2,3,4,0
319,35.333,2,4,3,2,1
275,100.402,6,5,0,3,0
92,138.744,12,1,3,3,1
58,175.506,10,5,1,4,0
346,122.644,2,0,3,2,1
229,86.211,6,1,1,2,1
117,87.277,14,4,2,4,0
318,155.354,1,4,0,2,0
279,111.289,11,5,0,1,0
127,119.712,13,4,4,4,0
129,144.601,1,4,2,3,0
58,35.0,5,3,1,4,0
122,200.015,10,0,2,1,1
1,90.757,13,3,0,4,0
239,129.677,11,4,1,3,0
290,51.812,9,2,2,3,0
96,103.098,14,3,0,4,0
126,169.788,8,4,1,4,0
118,43.353,3,4,1,1,1
48,165.048,3,0,0,1,1
89,109.052,1,5,1,3,0
237,139.487,14,1,0,2,1
272,146.301,3,3,3,2,1
189,137.657,14,3,3,2,1
192,85.402,12,3,1,2,1
69,105.418,12,4,1,3,0
278,61.538,12,0,0,2,1
349,139.672,13,4,1,2,1
247,188.082,11,4,4,4,0
76,47.022,1,5,3,2,0
154,89.534,8,2,1,4,0
144,112.729,1,0,1,3,0
86,126.934,5,3,2,4,0
185,155.167,9,1,1,1,1
285,113.912,7,3,4,4,1
220,107.362,4,4,3,2,0
69,164.125,11,0,2,4,0
47,146.48,9,0,0,4,0
94,141.559,9,0,0,3,0
238,124.501,2,2,3,3,0
204,159.326,10,3,0,2,0
218,93.748,10,2,4,1,1
341,88.292,11,5,1,1,1
39,149.844,12,1,3,4,0
100,54.999,6,5,2,1,1
289,123.687,4,4,1,3,0
254,107.338,8,2,0,2,0
222,63.77,12,2,0,2,1
357,82.749,11,5,2,3,0
23,115.641,7,4,4,2,0
250,161.359,7,0,2,4,0
10,93.882,11,4,3,2,1
246,168.535,10,3,2,1,0
325,122.527,9,5,0,2,0
100,172.415,13,4,4,2,1
290,95.82,5,0,4,3,1
180,118.048,6,4,2,3,0
223,134.739,1,2,3,1,1
250,112.82,6,1,0,3,0
147,158.121,2,2,1,1,0
96,35.0,6,1,4,4,1
257,216.896,9,4,2,1,1
325,154.311,8,3,3,2,1
4,113.059,9,4,3,1,1
16,97.907,13,0,0,4,0
280,85.343,10,4,4,2,1
336,145.825,8,1,0,1,1
247,159.799,3,2,1,3,0
258,113.499,8,3,1,3,0
160,164.28,6,4,1,3,0
340,83.71,13,4,3,1,1
152,76.648,6,2,4,1,1
178,192.534,6,3,0,4,0
163,143.644,3,5,0,2,0
33,175.874,10,4,1,2,0
179,85.842,1,4,4,2,0
101,83.059,12,5,4,2,1
268,105.656,14,1,2,1,1
323,87.038,4,1,4,1,1
65,148.215,10,0,4,4,1
168,89.955,12,2,0,2,0
330,73.133,6,3,4,1,1
43,125.681,11,4,4,1,1
44,68.401,12,4,0,1,1
285,48.021,10,0,4,1,1
12,125.33,2,4,0,2,0
95,50.031,7,2,2,2,1
302,151.011,7,0,3,1,1
253,64.187,11,2,0,3,0
242,35.0,4,0,0,4,0
35,108.248,4,4,4,2,1
215,125.784,1,0,0,2,0
337,139.659,13,1,1,3,1
90,126.881,2,3,1,2,0
264,77.627,9,4,2,3,0
93,148.522,10,5,0,3,0
90,158.406,8,3,4,1,1
115,71.77,8,4,4,2,1
105,112.76,9,3,3,4,0
196,109.022,7,1,2,3,1
314,128.815,13,3,4,4,1
114,111.803,9,0,3,1,1
75,117.285,10,3,4,2,1
217,145.673,12,4,3,1,1
277,75.446,2,5,1,1,1
249,149.495,6,5,1,4,0
164,165.645,3,2,4,4,0
357,185.365,11,3,2,3,0
192,35.0,6,5,0,2,0
227,112.684,3,3,2,1,1
177,41.396,8,5,2,3,0
99,35.0,11,3,0,3,0
36,125.764,13,4,1,1,1
96,104.034,4,3,1,1,0
152,131.994,12,4,0,3,0
151,139.445,10,4,3,1,1
190,169.916,6,2,2,1,1
224,122.157,9,5,4,4,1
37,236.934,2,0,1,2,0
268,132.256,2,4,4,3,1
183,193.699,7,5,0,1,0
13,35.0,2,1,4,3,1
279,173.99,2,3,4,2,0
217,112.77,4,1,2,3,0
355,42.066,9,3,0,3,0
361,136.822,8,2,4,3,1
286,107.882,2,4,1,4,0
273,143.202,8,0,0,2,1
62,160.443,4,4,1,2,0
84,60.434,2,3,3,3,0
217,160.597,11,0,4,3,1
342,120.259,10,4,0,2,0
187,174.114,7,0,1,1,1
19,111.794,6,3,4,4,0
177,101.184,14,2,2,2,1
100,121.082,10,2,1,3,1
233,124.074,5,4,1,1,0
76,93.489,11,1,3,1,1
265,100.148,1,3,2,1,0
284,70.925,2,4,3,4,0
206,102.614,8,4,2,4,0
223,147.052,1,2,1,2,0
52,114.506,3,0,3,2,1
339,160.363,2,3,4,2,1
144,112.583,5,0,2,2,1
69,62.739,4,5,1,3,0
99,143.891,13,5,0,4,0
25,93.055,7,3,2,1,1
53,110.665,5,1,2,3,0
151,169.503,8,5,4,2,1
144,73.565,4,2,2,2,1
57,126.59,12,1,2,3,1
39,118.379,6,4,4,1,1
109,148.037,4,5,4,4,0
181,154.206,2,2,3,4,0
42,130.554,1,4,1,1,0
186,105.585,14,1,1,4,0
223,138.935,14,3,3,2,1
122,173.426,1,4,1,2,0
133,118.908,8,0,2,2,1
163,109.31,14,3,3,2,1
215,135.527,4,3,3,1,1
221,121.549,5,1,1,4,0
235,66.492,11,1,0,4,0
331,129.573,8,2,1,3,0
146,66.13,12,2,0,1,1
239,134.979,7,0,3,4,1
76,88.114,13,3,0,4,0
9,121.475,8,0,2,3,1
74,135.624,13,0,4,2,1
253,218.156,8,1,0,4,0
230,149.71,6,0,4,2,1
7,174.592,10,0,2,3,0
174,194.87,2,4,4,4,0
141,139.57,6,2,2,2,1
168,131.428,14,2,4,1,1
170,77.331,1,3,4,2,1
283,115.335,1,2,1,2,0
122,91.076,11,5,0,2,0
194,103.958,3,3,4,2,0
5,194.827,3,4,3,1,0
29,124.585,11,2,1,3,1
165,84.964,13,4,0,2,1
339,174.981,5,2,1,2,0
136,158.211,1,2,0,4,0
365,160.306,10,4,2,4,0
321,39.755,6,0,4,1,1
342,197.947,7,0,3,1,1
145,97.659,10,0,1,1,1
327,151.118,12,5,1,4,0
217,220.952,13,0,1,2,1
301,206.213,11,2,1,4,0
132,80.898,3,1,4,3,1
292,62.219,4,4,0,1,0
70,177.214,10,1,4,1,1
252,125.682,11,5,2,1,1
275,99.965,10,1,4,3,1
364,144.849,14,3,4,2,1
182,113.485,12,0,2,2,1
167,148.053,10,5,4,2,0
91,122.679,14,2,0,1,1
202,148.896,10,0,3,2,1
346,84.219,10,0,2,4,1
19,176.978,3,1,1,1,1
39,147.905,1,3,0,3,0
126,145.852,8,0,3,3,1
173,75.293,13,4,0,2,0
141,187.985,10,4,0,1,0
242,119.451,10,0,1,4,0
220,149.122,2,1,3,4,0
126,107.087,1,1,0,1,0
58,130.436,14,2,1,2,0
148,131.885,8,5,2,3,0
317,35.0,7,5,1,3,0
361,143.298,7,5,4,4,0
1,198.614,4,3,1,4,0
348,141.591,11,1,1,4,1
190,81.692,9,2,1,3,1
191,145.998,6,4,0,4,0
312,162.379,2,5,3,3,0
117,140.499,14,4,1,3,0
134,117.035,1,4,1,2,0
58,110.314,1,0,4,2,1
44,110.148,9,3,4,2,1
173,147.911,4,2,2,4,0
160,63.715,5,3,2,3,1
173,105.125,3,0,4,4,1
317,183.824,4,2,3,3,1
303,185.368,12,2,2,2,1
149,60.874,8,1,3,2,1
80,74.743,13,3,4,4,1
213,109.175,4,3,2,3,0
203,155.704,9,1,1,4,0
252,46.901,9,4,4,1,1
229,117.808,6,0,2,4,0
164,101.033,2,3,3,2,0
227,173.039,12,1,3,3,1
147,52.924,10,2,2,3,1
20,123.702,11,5,3,4,0
47,104.256,7,1,2,2,1
233,178.792,9,5,2,1,1
305,143.906,6,4,3,4,1
14,96.567,3,0,0,3,1
143,154.135,14,5,1,2,0
1,104.447,7,4,4,3,1
54,159.973,5,5,1,3,0
259,110.517,1,2,4,3,1
144,162.187,3,2,4,3,0
12,137.443,5,2,1,1,1
330,250.42,7,2,2,2,0
224,117.884,3,1,3,4,1
272,135.314,6,2,0,2,0
358,100.823,5,2,0,2,0
156,120.107,13,1,0,2,0
8,35.0,1,2,1,4,0
122,138.623,10,4,1,2,0
348,173.715,6,4,2,4,0
164,135.865,14,3,0,4,0
90,67.446,8,4,2,1,1
136,87.929,13,0,0,3,1
186,35.0,13,0,1,4,0
316,159.157,1,0,3,3,0
178,79.739,2,1,3,2,1
28,118.852,14,4,3,3,0
220,113.85,4,0,3,3,1
357,179.509,12,3,4,3,0
41,123.411,2,1,0,2,0
228,152.356,11,3,3,2,1
192,141.859,9,4,4,4,1
145,174.376,10,2,4,4,1
201,110.435,8,3,4,1,1
212,194.785,8,2,2,2,1
220,40.574,4,1,2,1,1
240,154.299,5,3,4,2,1
46,85.335,4,3,3,3,0
35,100.29,13,5,0,1,0
253,142.777,9,1,1,1,0
82,142.456,13,1,2,1,1
256,144.257,2,0,3,2,1
197,64.554,13,4,3,4,0
303,177.961,11,3,1,1,0
10,83.974,8,3,1,4,0
312,89.309,2,1,3,2,1
286,145.516,1,1,1,1,0
242,108.531,10,4,3,2,1
251,132.33,3,1,1,4,0
365,35.0,9,2,1,4,1
5,131.373,12,2,3,1,1
119,128.713,3,5,4,4,0
289,99.606,9,2,3,3,1
65,37.037,7,2,0,3,0
146,111.488,13,4,1,1,1
224,118.505,10,3,2,2,1
239,105.311,1,2,1,2,0
177,46.553,10,5,0,2,0
267,183.789,5,1,2,3,0
341,94.446,9,2,2,4,0
282,111.112,12,5,3,3,1
63,35.0,3,4,4,4,0
217,183.794,9,1,3,3,1
342,101.338,5,5,2,2,1
315,123.939,9,2,2,2,1
283,164.829,10,3,4,2,1
177,92.948,6,1,1,1,1
98,158.53,9,1,4,1,1
105,37.547,7,3,3,4,1
99,142.039,7,1,1,1,1
311,182.89,8,2,3,3,1
6,96.783,7,1,4,3,1
197,164.755,12,2,1,4,0
351,193.357,9,3,4,4,1
133,109.806,11,0,0,2,1
358,106.499,9,3,2,1,1
259,84.068,6,2,1,2,0
23,99.611,7,4,2,1,1
53,87.386,2,3,0,1,0
165,84.036,9,4,1,4,0
202,167.953,12,4,2,2,1
83,88.403,13,2,2,2,1
145,130.341,1,2,1,1,1
85,121.529,1,0,2,1,1
78,179.924,3,5,2,4,0
1,99.874,12,1,1,3,1
51,135.246,6,3,2,2,0
173,151.643,5,2,2,2,0
205,179.59,2,3,3,4,0
260,99.29,9,5,3,4,0
288,95.284,14,5,0,2,0
34,77.529,13,4,3,2,1
348,209.452,10,1,3,1,1
95,175.379,14,0,0,3,0
72,118.312,4,3,2,2,0
39,197.258,4,1,2,4,0
154,115.925,5,0,3,1,1
250,148.976,8,3,0,1,0
162,120.407,10,1,2,4,1
118,135.912,4,2,4,4,0
259,131.67,5,3,1,1,1
306,103.001,12,1,1,4,0
268,163.7,4,5,1,1,0
54,148.638,14,0,3,4,1
236,161.108,6,1,1,1,1
222,132.809,12,2,1,2,1
251,83.737,3,3,4,2,0
313,188.375,8,3,2,4,0
112,109.498,6,3,4,3,1
255,134.563,10,2,3,2,1
303,145.415,5,0,1,1,1
207,134.297,13,3,2,3,1
229,156.617,2,0,1,1,1
341,162.935,10,1,1,1,1
66,111.007,10,5,3,2,1
75,185.019,7,5,1,4,0
103,109.324,2,0,0,4,0
192,133.47,1,0,2,1,1
252,104.493,7,5,2,2,1
226,93.061,5,3,0,1,0
294,161.768,1,4,3,3,1
306,244.876,4,4,1,1,0
98,105.53,12,2,1,2,1
338,168.613,13,5,2,1,1
286,106.964,4,5,3,2,0
335,119.581,10,2,3,4,1
347,190.303,7,4,3,2,1
308,77.059,9,1,1,3,0
249,66.474,2,3,3,2,0
166,116.512,12,3,0,3,1
335,146.546,14,1,4,3,1
30,138.547,1,1,3,1,1
247,134.427,2,4,4,3,1
106,121.365,7,2,1,2,1
51,151.462,13,1,3,4,1
81,35.0,10,2,2,2,1
133,89.968,6,0,1,4,0
285,116.256,4,3,0,3,0
138,148.181,1,4,0,1,0
184,179.591,13,3,4,3,1
330,84.596,1,4,4,3,1
273,178.283,5,0,2,4,0
340,101.898,1,3,2,2,1
69,114.804,12,0,0,1,1
34,143.257,7,4,3,1,1
262,111.871,13,1,0,1,1
53,164.405,11,3,0,1,1
205,103.816,1,0,2,2,1
126,104.419,1,5,4,1,0
235,162.079,2,3,2,4,0
43,89.475,13,3,2,4,1
240,129.957,14,3,2,1,1
111,53.581,11,2,0,1,1
249,192.786,12,0,3,2,1
151,168.262,10,0,0,2,1
183,230.004,3,3,1,1,0
336,173.535,13,1,2,2,1
95,74.814,11,3,2,3,0
8,146.746,1,2,1,1,0
360,83.28,9,4,2,2,1
184,183.122,10,2,2,4,0
281,75.954,8,1,2,1,1
195,74.034,5,3,1,1,1
352,55.608,13,0,0,4,0
195,100.465,11,5,2,4,0
155,92.421,2,3,3,2,1
93,69.534,5,1,1,4,0
160,199.592,6,0,4,3,0
61,141.195,14,2,1,1,1
122,136.489,1,4,0,3,0
51,183.567,11,4,1,2,0
277,130.25,4,3,4,4,1
5,90.053,9,2,3,1,1
92,51.992,2,5,4,4,0
170,87.798,5,5,1,4,0
317,180.217,1,1,4,2,1
22,69.787,4,4,1,2,0
326,134.125,4,2,3,2,1
1,161.357,6,3,3,2,0
133,131.414,10,0,0,1,1
233,135.959,9,3,3,3,1
12,146.224,3,3,2,3,0
346,135.171,9,2,4,1,1
46,184.363,6,4,4,4,0
34,78.388,7,2,1,1,1
78,129.617,12,0,3,3,1
218,47.27,10,2,0,3,0
301,37.05,2,1,0,1,1
73,116.733,11,3,0,2,0
282,141.735,10,4,2,4,0
249,185.227,14,5,3,1,1
47,216.792,6,0,0,3,0
121,172.794,6,5,2,2,0
214,149.087,2,3,4,4,0
239,126.399,2,2,1,3,0
56,58.751,14,5,3,4,1
350,114.159,2,1,3,2,1
